input,cores,chunk_size,run1s,run1e,run2s,run2e,run3s,run3e,run4s,run4e,run5s,run5e
15000,,,,,,,,
30000,,,,,,,,
100000,,,,,,,,
15000,1,1,5.69,9.22,5.68,9.23,5.68,9.22,5.68,9.22,5.72,9.22
15000,1,10,5.68,9.02,5.67,9.02,5.68,9.01,5.68,9.02,5.68,9.02
15000,1,16,5.68,8.60,5.72,8.62,5.67,8.60,5.68,8.61,5.67,8.60
15000,1,32,5.69,8.27,5.68,8.26,5.68,8.27,5.68,8.32,5.68,8.27
15000,1,64,5.68,8.15,5.68,8.13,5.67,8.14,5.68,8.14,5.68,8.16
15000,1,128,5.67,8.10,5.67,8.13,5.68,8.08,5.67,8.09,5.68,8.08
15000,1,256,5.67,8.13,5.68,8.06,5.68,8.06,5.68,8.06,5.71,8.12
15000,1,512,5.67,8.18,5.67,8.09,5.67,8.08,5.68,8.09,5.67,8.08
15000,1,1024,5.68,8.09,5.68,8.12,5.68,8.08,5.68,8.09,5.68,8.08
15000,1,2048,5.67,8.39,5.68,8.39,5.68,8.39,5.67,8.39,5.71,8.39
15000,1,4096,5.67,8.38,5.67,8.39,5.68,8.39,5.68,8.38,5.68,8.38
15000,2,1,6.21,10.85,6.22,10.91,6.16,10.81,6.26,10.81,6.30,10.80
15000,2,10,5.59,9.20,5.46,9.26,6.32,9.20,4.50,9.20,5.49,9.21
15000,2,16,6.03,8.77,5.74,8.79,5.73,8.79,6.27,8.79,6.34,8.77
15000,2,32,5.89,8.45,6.36,8.41,6.21,8.42,6.12,8.45,5.76,8.41
15000,2,64,6.01,8.28,5.84,8.30,5.23,8.32,5.08,8.29,5.90,8.30
15000,2,128,6.13,8.24,5.92,8.25,5.84,8.25,5.93,8.25,5.03,8.27
15000,2,256,5.92,8.26,5.35,8.21,5.40,8.23,5.99,8.21,5.92,8.23
15000,2,512,5.33,8.21,5.96,8.19,5.95,8.20,5.85,8.23,5.64,8.26
15000,2,1024,5.12,8.21,5.96,8.20,6.03,8.22,5.11,8.19,4.71,8.20
15000,2,2048,5.75,9.00,5.73,8.96,4.42,8.94,4.10,8.29,4.71,8.28
15000,2,4096,6.00,8.60,6.00,8.62,6.02,8.61,5.99,8.65,6.03,8.61
15000,4,1,4.80,34.09,4.73,33.83,4.75,34.19,4.66,33.94,4.75,34.14
15000,4,10,2.30,10.25,2.11,10.53,2.46,10.22,2.37,10.16,2.28,10.19
15000,4,16,4.48,9.39,2.28,9.35,3.76,9.36,2.31,9.34,4.22,9.39
15000,4,32,2.44,8.86,2.44,8.86,4.48,8.89,2.31,8.88,2.29,8.89
15000,4,64,2.35,8.77,2.29,8.69,2.28,8.73,2.27,8.80,2.28,8.68
15000,4,128,2.41,8.68,4.58,8.64,2.45,8.63,2.38,8.63,1.84,8.64
15000,4,256,2.39,8.61,2.31,8.63,2.39,8.59,2.31,8.58,2.29,8.58
15000,4,512,2.44,8.58,2.30,8.66,2.33,8.58,2.34,8.57,2.34,8.59
15000,4,1024,2.26,8.61,2.29,8.58,2.39,8.56,2.29,8.57,2.23,8.70
15000,4,2048,2.33,8.78,2.33,9.22,2.31,8.58,2.22,9.11,2.28,8.82
15000,4,4096,2.18,9.15,2.13,9.23,2.19,9.17,2.13,9.23,2.15,9.25
15000,8,1,4.34,75.97,4.28,75.75,4.44,76.56,4.54,76.55,4.31,76.33
15000,8,10,1.09,13.38,1.09,13.55,1.09,13.35,3.78,13.46,1.08,13.59
15000,8,16,1.03,10.55,1.09,10.86,1.09,10.59,1.08,10.49,3.92,10.53
15000,8,32,1.09,9.48,2.73,9.48,1.09,9.48,1.09,9.47,1.09,9.46
15000,8,64,1.00,9.24,1.09,9.27,3.81,9.22,1.09,9.53,1.09,9.24
15000,8,128,4.10,9.50,1.08,9.16,4.05,9.18,1.08,9.22,1.08,9.50
15000,8,256,1.09,9.12,2.70,9.43,1.09,9.42,1.09,9.11,1.09,9.40
15000,8,512,1.09,9.10,1.09,9.34,1.09,9.11,1.08,9.11,1.09,9.11
15000,8,1024,1.05,9.46,1.08,9.44,1.05,9.38,1.09,9.13,1.09,9.46
15000,8,2048,1.48,9.32,1.07,9.47,1.07,9.30,1.07,9.65,1.07,9.44
15000,8,4096,1.01,10.72,1.01,10.70,1.01,10.56,1.02,10.75,1.01,10.72
15000,12,1,4.06,72.39,3.85,62.24,3.38,64.91,2.77,77.36,3.95,64.25
15000,12,10,0.61,12.94,0.59,13.30,3.85,13.54,0.58,12.58,0.59,13.29
15000,12,16,0.61,11.24,0.60,11.29,0.59,10.72,1.56,11.46,0.61,11.31
15000,12,32,0.60,10.14,0.61,10.05,0.62,9.48,3.23,10.12,0.59,10.06
15000,12,64,0.61,9.53,0.59,9.82,3.82,10.06,0.59,9.98,0.59,9.73
15000,12,128,3.36,10.14,3.30,9.84,0.62,9.23,0.59,9.92,0.60,10.02
15000,12,256,0.60,9.72,0.62,9.95,0.59,9.69,3.06,9.67,0.61,9.95
15000,12,512,0.62,9.94,2.88,9.23,0.68,9.91,0.59,9.86,0.59,9.85
15000,12,1024,0.62,10.13,0.58,9.17,0.63,9.87,0.59,9.79,0.59,9.94
15000,12,2048,0.58,9.39,0.59,9.55,0.60,9.64,0.59,9.31,0.60,9.43
15000,12,4096,0.57,10.27,0.57,9.88,0.56,10.50,0.57,10.08,0.55,10.07
15000,16,1,3.77,92.21,3.76,74.14,3.86,72.42,2.48,78.30,2.72,88.94
15000,16,10,0.47,14.28,0.48,14.36,3.71,14.24,0.45,13.88,0.46,13.59
15000,16,16,0.45,11.68,0.46,11.49,0.47,11.73,3.82,11.76,0.44,11.52
15000,16,32,0.45,10.40,0.45,10.44,0.45,10.65,0.48,10.50,3.80,10.59
15000,16,64,0.47,10.27,3.07,10.03,0.45,10.39,0.45,10.28,3.65,10.15
15000,16,128,0.46,10.16,0.47,10.02,3.53,10.30,3.22,10.23,0.44,10.35
15000,16,256,0.48,10.11,0.45,10.00,0.47,10.10,3.82,10.16,0.45,10.06
15000,16,512,0.45,10.27,3.56,10.13,0.47,10.22,0.45,10.05,0.46,10.04
15000,16,1024,0.97,10.23,2.26,10.21,0.44,9.98,0.43,10.26,0.46,10.28
15000,16,2048,2.24,9.75,0.43,10.28,0.45,9.55,0.45,9.69,0.46,9.58
15000,16,4096,0.43,10.83,0.45,10.49,0.45,10.44,0.44,9.52,0.41,10.22
15000,20,1,2.20,83.03,3.73,85.20,3.80,112.19,3.79,95.47,3.84,80.09
15000,20,10,0.36,15.48,0.38,15.39,0.39,15.26,0.39,15.49,0.38,15.92
15000,20,16,3.07,12.51,0.37,12.26,0.38,12.47,0.37,12.46,0.38,12.33
15000,20,32,0.36,11.23,0.41,11.42,3.60,11.43,0.35,11.02,3.79,11.11
15000,20,64,0.35,10.80,0.36,10.94,0.39,10.63,2.43,11.01,0.37,10.78
15000,20,128,0.38,10.79,0.38,10.92,0.38,10.69,3.66,10.82,0.38,10.57
15000,20,256,0.37,10.50,0.38,10.56,0.36,10.39,0.36,10.73,0.36,10.61
