input,cores,chunk_size,run1s,run2s,run3s,run4s,run5s
100000,1,1,293.71,293.61,293.61,294.39,294.13
100000,1,10,293.64,293.47,293.80,293.50,293.59
100000,1,16,294.44,293.72,293.57,293.74,293.49
100000,1,32,293.54,293.61,293.55,293.59,293.56
100000,1,64,293.61,293.54,293.56,293.57,293.55
100000,1,128,293.61,293.53,293.55,293.53,293.58
100000,1,256,293.52,293.68,293.51,294.30,293.54
100000,1,512,293.64,293.50,293.60,293.55,293.56
100000,1,1024,293.57,293.55,293.64,293.57,293.57
100000,1,2048,293.49,293.64,293.69,293.46,293.61
100000,1,4096,293.44,293.60,293.45,293.58,305.57
100000,2,1,317.29,354.09,315.86,366.78,317.29
100000,2,10,364.15,327.63,330.29,330.23,279.85
100000,2,16,313.94,184.50,311.24,326.61,217.44
100000,2,32,334.33,289.60,352.80,294.62,342.78
100000,2,64,290.26,289.37,255.06,347.71,289.72
100000,2,128,356.53,182.48,355.53,283.05,290.53
100000,2,256,175.14,251.89,291.33,309.87,292.78
100000,2,512,242.08,239.34,254.46,190.17,376.45
100000,2,1024,234.23,256.86,183.67,254.89,190.79
100000,2,2048,219.31,203.93,219.21,193.35,283.78
100000,2,4096,286.63,242.19,293.27,225.97,296.47
100000,4,1,361.80,296.98,328.86,320.50,362.97
100000,4,10,141.93,254.68,149.47,251.00,264.24
100000,4,16,269.45,188.32,271.66,254.51,189.39
100000,4,32,123.29,333.45,266.95,169.91,288.71
100000,4,64,355.55,170.06,149.39,123.26,171.34
100000,4,128,123.80,209.56,123.85,308.48,123.46
100000,4,256,309.53,106.28,154.46,217.24,123.31
100000,4,512,123.90,309.56,292.00,309.52,282.99
100000,4,1024,123.82,292.98,123.30,122.10,309.81
100000,4,2048,193.50,125.90,195.62,123.43,121.06
100000,4,4096,121.76,283.97,115.27,118.32,155.58
100000,8,1,300.37,311.22,298.13,305.82,317.87
100000,8,10,180.88,81.32,69.20,206.83,105.00
100000,8,16,201.53,220.09,55.24,47.20,264.59
100000,8,32,275.13,252.25,334.03,55.19,260.70
100000,8,64,287.83,293.55,55.14,303.55,287.89
100000,8,128,305.75,290.43,307.98,290.30,315.74
100000,8,256,55.17,315.82,55.19,294.00,55.23
100000,8,512,299.02,55.16,53.53,290.70,296.14
100000,8,1024,55.15,305.64,48.49,293.32,290.37
100000,8,2048,43.93,55.19,297.80,53.38,46.15
100000,8,4096,289.82,44.42,54.86,122.19,287.79
100000,12,1,323.42,291.58,307.08,314.16,327.12
100000,12,10,215.40,166.92,100.56,91.72,88.62
100000,12,16,193.50,29.01,210.08,179.84,284.76
100000,12,32,243.65,297.28,249.09,252.29,251.21
100000,12,64,289.17,290.48,288.13,288.44,311.13
100000,12,128,289.90,307.64,292.65,308.52,292.95
100000,12,256,336.81,292.75,324.22,294.27,327.16
100000,12,512,294.37,318.38,295.50,345.21,290.51
100000,12,1024,326.18,63.16,307.05,28.78,327.12
100000,12,2048,28.80,337.40,28.93,301.97,292.09
100000,12,4096,292.05,289.98,35.23,28.27,287.49
100000,16,1,291.48,291.93,281.49,294.59,294.46
100000,16,10,219.73,84.89,214.45,170.57,221.70
100000,16,16,277.20,167.45,276.17,219.63,193.21
100000,16,32,263.12,267.85,297.66,278.58,300.56
100000,16,64,290.26,314.70,291.41,343.86,289.76
100000,16,128,325.80,292.54,328.81,291.30,291.33
100000,16,256,291.01,311.03,294.24,296.02,291.47
100000,16,512,294.26,291.86,300.96,293.64,295.04
100000,16,1024,288.09,303.14,287.78,292.71,295.11
100000,16,2048,25.10,35.82,24.58,21.79,281.79
100000,16,4096,21.92,302.18,21.67,302.42,291.54
100000,20,1,306.35,292.96,296.79,294.77,292.08
100000,20,10,99.91,84.05,225.29,82.41,218.71
100000,20,16,26.74,277.61,282.81,146.09,24.07
100000,20,32,269.49,233.26,269.79,285.87,268.06
100000,20,64,294.46,287.27,295.25,281.65,280.80
100000,20,128,140.62,294.32,264.79,294.99,294.67
100000,20,256,297.65,292.84,290.98,289.73,294.51
100000,20,512,292.58,299.26,294.97,290.98,290.46
100000,20,1024,295.74,288.35,289.68,297.50,289.82
100000,20,2048,290.35,293.35,17.34,287.50,17.28
100000,20,4096,20.08,17.34,287.72,18.70,24.52
100000,24,1,304.20,296.17,295.89,295.48,293.08
100000,24,10,77.40,76.35,77.89,213.85,103.12
100000,24,16,146.06,165.70,278.70,107.77,113.78
100000,24,32,235.61,214.44,232.25,222.33,265.65
100000,24,64,270.86,265.74,260.45,269.26,78.30
100000,24,128,297.93,289.41,288.75,290.27,288.28
100000,24,256,294.93,289.93,289.82,299.49,292.87
100000,24,512,292.56,291.20,291.27,294.27,290.20
100000,24,1024,288.80,18.45,294.22,285.68,293.46
100000,24,2048,293.76,290.28,16.54,15.18,17.24
100000,24,4096,15.03,112.69,285.64,16.44,15.06
100000,28,1,279.34,291.18,295.17,280.89,292.07
100000,28,10,72.94,74.83,102.66,75.51,225.80
100000,28,16,148.73,145.91,277.17,156.59,103.18
100000,28,32,206.32,264.43,265.44,185.52,204.01
100000,28,64,264.50,259.70,267.40,266.22,288.06
100000,28,128,289.81,289.74,293.94,282.07,294.09
100000,28,256,290.12,290.19,289.56,292.59,289.93
100000,28,512,292.70,290.74,290.44,289.51,293.59
100000,28,1024,309.15,268.87,287.22,291.01,290.54
100000,28,2048,289.06,288.61,288.04,306.39,291.23
100000,28,4096,283.37,283.85,31.70,12.94,14.44
100000,32,1,289.46,297.01,292.28,295.92,278.73
100000,32,10,219.59,103.14,69.10,68.75,101.33
100000,32,16,202.96,94.96,275.65,167.30,275.49
100000,32,32,280.90,277.32,175.78,264.28,193.68
100000,32,64,290.35,27.77,290.10,287.45,247.04
100000,32,128,284.00,292.88,288.56,289.72,286.73
100000,32,256,291.56,285.51,295.64,281.24,291.48
100000,32,512,277.61,293.92,289.22,292.82,290.15
100000,32,1024,272.47,288.47,292.40,229.98,296.42
100000,32,2048,176.58,292.14,287.91,288.34,182.23
100000,32,4096,85.20,53.48,11.30,12.45,11.31
100000,36,1,294.36,296.02,290.91,292.73,288.69
100000,36,10,100.64,227.84,65.31,100.72,103.53
100000,36,16,159.78,89.62,155.86,277.61,148.03
100000,36,32,167.88,282.59,267.89,252.69,267.62
100000,36,64,245.85,249.96,286.55,226.41,286.13
100000,36,128,273.89,288.39,291.01,288.23,264.70
100000,36,256,287.93,291.88,289.55,293.80,289.10
100000,36,512,58.22,289.56,293.61,289.03,290.36
100000,36,1024,289.25,290.66,290.02,290.91,283.97
100000,36,2048,203.02,287.84,118.34,10.89,287.07
100000,36,4096,20.72,11.15,282.61,36.07,276.98
100000,40,1,293.65,290.11,301.55,291.23,293.92
100000,40,10,174.12,61.50,101.15,103.07,61.73
100000,40,16,161.27,145.23,164.28,152.24,97.81
100000,40,32,251.04,173.24,159.30,280.13,251.44
100000,40,64,229.76,286.29,231.77,226.71,287.28
100000,40,128,249.45,251.06,288.29,289.53,288.65
100000,40,256,290.65,287.90,293.53,140.97,271.65
100000,40,512,288.28,292.17,287.59,282.74,286.79
100000,40,1024,290.35,289.84,292.89,289.14,63.33
100000,40,2048,287.97,288.31,10.24,285.19,10.51
100000,40,4096,23.10,10.58,283.21,10.54,10.13
100000,44,1,288.73,291.17,288.04,280.84,298.63
