input,cores,chunk_size,divider,runk1,runk2,runk3,runk4,runk5
1500,1,1,2,0.02,0.02,0.02,0.02,0.02
1500,1,1,4,0.02,0.02,0.02,0.02,0.02
1500,1,1,8,0.02,0.02,0.02,0.02,0.02
1500,1,1,16,0.02,0.02,0.02,0.02,0.02
1500,1,50,2,0.02,0.02,0.02,0.02,0.02
1500,1,50,4,0.02,0.02,0.02,0.02,0.02
1500,1,50,8,0.02,0.02,0.02,0.02,0.02
1500,1,50,16,0.02,0.02,0.02,0.02,0.02
1500,1,100,2,0.02,0.02,0.02,0.02,0.02
1500,1,100,4,0.02,0.02,0.02,0.02,0.02
1500,1,100,8,0.02,0.02,0.02,0.02,0.02
1500,1,100,16,0.02,0.02,0.02,0.02,0.02
1500,1,500,2,0.02,0.02,0.02,0.02,0.02
1500,1,500,4,0.02,0.02,0.02,0.02,0.02
1500,1,500,8,0.02,0.02,0.02,0.02,0.02
1500,1,500,16,0.02,0.02,0.02,0.02,0.02
1500,1,1000,2,0.02,0.02,0.02,0.02,0.02
1500,1,1000,4,0.02,0.02,0.02,0.02,0.02
1500,1,1000,8,0.02,0.02,0.02,0.02,0.02
1500,1,1000,16,0.02,0.02,0.02,0.02,0.02
1500,1,2000,2,0.02,0.02,0.02,0.02,0.02
1500,1,2000,4,0.02,0.02,0.02,0.02,0.02
1500,1,2000,8,0.02,0.02,0.02,0.02,0.02
1500,1,2000,16,0.02,0.02,0.02,0.02,0.02
1500,2,1,2,0.02,0.02,0.02,0.02,0.02
1500,2,1,4,0.02,0.02,0.02,0.02,0.02
1500,2,1,8,0.02,0.02,0.03,0.03,0.02
1500,2,1,16,0.02,0.02,0.02,0.02,0.02
1500,2,50,2,0.02,0.02,0.02,0.02,0.02
1500,2,50,4,0.02,0.02,0.02,0.02,0.02
1500,2,50,8,0.03,0.03,0.03,0.03,0.03
1500,2,50,16,0.02,0.02,0.02,0.02,0.02
1500,2,100,2,0.02,0.02,0.02,0.02,0.02
1500,2,100,4,0.02,0.02,0.02,0.02,0.02
1500,2,100,8,0.03,0.03,0.03,0.02,0.03
1500,2,100,16,0.02,0.02,0.02,0.02,0.02
1500,2,500,2,0.02,0.02,0.02,0.02,0.02
1500,2,500,4,0.02,0.02,0.02,0.02,0.02
1500,2,500,8,0.02,0.02,0.02,0.02,0.02
1500,2,500,16,0.02,0.02,0.02,0.02,0.02
1500,2,1000,2,0.02,0.02,0.02,0.02,0.02
1500,2,1000,4,0.02,0.02,0.02,0.02,0.02
1500,2,1000,8,0.02,0.02,0.02,0.02,0.02
1500,2,1000,16,0.02,0.02,0.02,0.02,0.02
1500,2,2000,2,0.02,0.02,0.02,0.02,0.02
1500,2,2000,4,0.02,0.02,0.02,0.02,0.02
1500,2,2000,8,0.02,0.02,0.02,0.02,0.02
1500,2,2000,16,0.02,0.02,0.02,0.02,0.02
1500,4,1,2,0.02,
