input,cores,chunk_size,run1s,run2s,run3s,run4s,run5s
100000,1,1,293.71,293.61,293.61,294.39,294.13
100000,1,10,293.64,293.47,293.80,293.50,293.59
100000,1,16,294.44,293.72,293.57,293.74,293.49
100000,1,32,293.54,293.61,293.55,293.59,293.56
100000,1,64,293.61,293.54,293.56,293.57,293.55
100000,1,128,293.61,293.53,293.55,293.53,293.58
100000,1,256,293.52,293.68,293.51,294.30,293.54
100000,1,512,293.64,293.50,293.60,293.55,293.56
100000,1,1024,293.57,293.55,293.64,293.57,293.57
100000,1,2048,293.49,293.64,293.69,293.46,293.61
100000,1,4096,293.44,293.60,293.45,293.58,305.57
100000,2,1,317.29,354.09,315.86,366.78,317.29
100000,2,10,364.15,327.63,330.29,330.23,279.85
100000,2,16,313.94,184.50,311.24,326.61,217.44
100000,2,32,334.33,289.60,352.80,294.62,342.78
100000,2,64,290.26,289.37,255.06,347.71,289.72
100000,2,128,356.53,182.48,355.53,283.05,290.53
100000,2,256,175.14,251.89,291.33,309.87,292.78
100000,2,512,242.08,239.34,254.46,190.17,376.45
100000,2,1024,234.23,256.86,183.67,254.89,190.79
100000,2,2048,219.31,203.93,219.21,193.35,283.78
100000,2,4096,286.63,242.19,293.27,225.97,296.47
100000,4,1,361.80,296.98,328.86,320.50,362.97
100000,4,10,141.93,254.68,149.47,251.00,264.24
