input,cores,runn1,runn2,runn3,runn4,runn5
15000,1,5.135750,5.392729,5.088688,5.406434,5.086478
15000,2,5.347801,5.085529,5.350922,5.084367,5.344898
15000,4,5.080838,5.335852,5.086207,5.335269,5.085406
15000,8,5.082857,5.075272,5.081435,5.075123,5.081505
15000,12,5.087659,5.077592,5.080942,5.075712,5.075101
15000,16,5.075374,5.075274,5.075658,5.074786,5.076637
15000,20,5.076408,5.075754,5.075025,5.077557,5.074714
15000,24,5.075554,5.073561,5.075179,5.074050,5.075566
15000,28,5.082801,5.076395,5.074722,5.075772,5.074827
15000,32,5.075328,5.078661,5.075497,5.080779,5.076483
15000,36,5.076677,5.074874,5.075121,5.073638,5.074775
15000,40,5.074110,5.075602,5.073459,5.078286,5.073887
15000,44,5.073982,5.088720,5.073436,5.074988,5.073632
15000,48,5.074466,5.073553,5.075002,5.072964,5.074487
15000,52,5.074342,5.076495,5.073342,5.073888,5.073487
15000,56,5.074677,5.073910,5.075341,5.073387,5.074718
15000,60,5.073434,5.075458,5.088047,5.074620,5.074344
15000,64,5.074774,5.074933,5.074648,5.078756,5.075857
30000,1,22.933557,21.621045,22.541725,23.649137,21.649270
30000,2,23.592359,21.643007,23.565914,21.692439,23.419248
30000,4,23.148106,21.646615,23.152273,21.701668,23.122952
30000,8,21.642249,21.616661,22.310738,21.617565,22.276502
30000,12,21.612623,21.631751,21.607892,21.625542,21.659994
30000,16,21.603915,21.634518,21.604894,21.616228,21.646503
30000,20,21.610337,21.615006,22.695964,21.644141,21.643763
30000,24,21.820403,21.605302,21.612993,21.627808,22.197640
30000,28,21.621140,21.611861,24.514089,21.625729,21.614898
30000,32,21.620686,21.621330,22.470651,21.816017,21.612281
30000,36,22.663944,21.638912,21.614163,22.993473,21.657526
30000,40,21.618908,22.027041,21.600434,22.284604,21.612321
30000,44,21.602887,21.612675,21.822046,21.600497,22.031477
30000,48,21.621596,21.698898,21.601775,22.357319,21.602674
30000,52,21.609043,21.612468,22.041342,21.600724,21.599960
30000,56,21.601017,21.724902,21.615227,21.721184,21.600942
30000,60,21.905260,21.600781,21.631635,21.601838,22.297524
30000,64,21.604103,21.605769,21.615133,21.638780,21.602207
100000,1,265.761297,265.532573,265.854748,265.497456,265.784446
100000,2,266.222981,265.521511,265.856035,266.195829,265.729390
100000,4,265.430417,265.552480,265.430895,265.769383,265.404782
100000,8,265.255202,266.556918,265.159684,265.775754,265.906811
100000,12,269.460102,274.400887,269.491942,267.353721,269.058630
100000,16,265.161889,267.387420,265.249268,265.161703,265.474005
100000,20,268.386885,265.508381,268.728452,265.541499,269.969941
100000,24,265.255431,268.937626,265.636170,269.237787,265.911751
100000,28,266.958605,265.858294,266.363284,305.969347,265.696918
100000,32,265.308253,271.395754,265.543159,270.076022,265.259432
100000,36,266.056862,265.334119,268.012825,265.378733,265.244991
100000,40,268.198128,265.248594,265.270489,266.043559,265.492942
100000,44,266.509625,265.248419,266.606500,269.055012,268.649138
100000,48,265.387593,265.503897,266.088791,265.819777,265.790319
100000,52,267.185602,265.794983,268.669219,267.615507,272.047737
100000,56,265.156765,267.141371,265.987267,266.230318,269.181520
100000,60,267.420847,269.114668,265.286726,268.687557,270.048553
100000,64,270.750413,268.119200,271.807506,267.283339,269.835967
