input,cores,chunk_size,run1s1,run1s2,run1e1,run1e2,run2s1,run2s2,run2e1,run2e2,run3s1,run3s2,run3e1,run3e2,run4s1,run4s2,run4e1,run4e2,run5s1,run5s2,run5e1,run5e2
15000,1,1,6.243965,6.320495,5.139976,5.139386,6.209224,6.230314,5.141325,5.138034,6.219499,6.289867,5.141222,5.172299,6.206213,6.201635,5.172276,5.143771,6.200358,6.277047,5.138941,5.139219
15000,1,10,6.279826,6.288109,5.174507,5.140845,6.203456,6.289822,5.139073,5.139314,6.255228,6.211189,5.139531,5.141116,6.254760,6.202146,5.154521,5.139984,6.284792,6.200916,5.139188,5.173591
15000,1,16,6.280982,6.202827,5.141785,5.139618,6.282179,6.250076,5.141257,5.140289,6.208776,6.201480,5.142509,5.139500,6.218709,6.205933,5.138495,5.139098,6.290319,6.238699,5.139750,5.140668
15000,1,32,6.266059,6.236909,5.138820,5.139508,6.200793,6.201256,5.141172,5.139923,6.278906,6.206793,5.139408,5.142859,6.202835,6.276229,5.139549,5.139813,6.264593,6.203581,5.140396,5.139624
15000,1,64,6.258915,6.200509,5.143176,5.140822,6.278264,6.202409,5.138087,5.143411,6.278450,6.199884,5.140755,5.141091,6.208398,6.201752,5.139773,5.179037,6.221271,6.203151,5.138984,5.139533
15000,1,128,6.224687,6.205322,5.139604,5.140581,6.212387,6.279918,5.141315,5.138069,6.272928,6.204772,5.140305,5.138271,6.216032,6.302426,5.172474,5.134405,6.283431,6.222293,5.138983,5.143769
15000,1,256,6.277996,6.220630,5.140652,5.139252,6.282560,6.204248,5.138703,5.146628,6.209838,6.205732,5.139281,5.140175,6.259370,6.207276,5.139842,5.137732,6.282372,6.222014,5.139848,5.139280
15000,1,512,6.281276,6.205299,5.142271,5.139665,6.199612,6.205226,5.140125,5.137819,6.278584,6.204270,5.140720,5.182420,6.214905,6.206513,5.138980,5.137589,6.233694,6.207586,5.139772,5.141484
15000,1,1024,6.404029,6.203801,5.139740,5.139305,6.235032,6.208741,5.138777,5.137322,6.279929,6.265514,5.138806,5.140429,6.278998,6.207269,5.139895,5.138022,6.218570,6.205404,5.139870,5.138164
15000,1,2048,6.226067,6.203041,5.140733,5.144895,6.281206,6.205838,5.139138,5.139042,6.269301,6.203476,5.139253,5.139266,6.206444,6.206365,5.140135,5.137242,6.371348,6.247755,5.143956,5.141842
15000,1,4096,6.316403,6.208645,5.141143,5.141184,6.247667,6.251066,5.139028,5.174391,6.238111,6.205445,5.140915,5.140694,6.210802,6.212046,5.140046,5.140427,6.287280,6.206224,5.139252,5.139684
15000,2,1,3.387015,3.375302,5.139179,5.138568,3.409626,3.370307,5.137647,5.170888,3.362206,3.370259,5.137965,5.138946,3.370168,3.377098,5.137773,5.138960,3.331573,3.371631,5.136760,5.141934
15000,2,10,3.375783,3.365210,5.141681,5.139788,3.397979,3.419437,5.142663,5.139223,3.368588,3.367591,5.137434,5.180598,3.379499,3.412124,5.139037,5.220480,3.325706,3.456820,5.212896,5.203032
15000,2,16,3.729455,3.436962,5.192902,5.202942,3.310190,3.456249,5.198736,5.224109,3.334726,3.470745,5.207051,5.203930,3.426263,3.684622,5.211873,5.244294,3.437977,3.501759,5.161330,5.196755
15000,2,32,3.803916,3.484364,5.202468,5.188260,3.725811,3.461735,5.139358,5.138288,3.429550,3.389235,5.139227,5.137821,3.377656,3.424206,5.138002,5.138264,3.381422,3.399419,5.138176,5.176255
15000,2,64,3.369076,3.388183,5.139013,5.138803,3.363797,3.370998,5.138458,5.139310,3.378042,3.382183,5.138904,5.144473,3.365553,3.393490,5.138048,5.227783,3.359109,3.462958,5.418470,5.138705
15000,2,128,3.389322,3.386199,5.138849,5.182214,3.424680,3.387875,5.136931,5.136464,3.405345,3.359434,5.136161,5.136171,3.389543,3.368066,5.136848,5.139906,3.395171,3.419244,5.137416,5.137471
15000,2,256,3.416155,3.392991,5.137478,5.140867,3.404624,3.429207,5.137912,5.182932,3.424779,3.395898,5.136705,5.137082,3.420049,3.411062,5.136484,5.138775,3.432918,3.378510,5.136316,5.138064
15000,2,512,3.375819,3.417792,5.137676,5.137070,3.367414,3.410181,5.137998,5.136686,3.387483,3.466574,5.137641,5.187377,3.405908,3.470614,5.137109,5.137779,3.402208,3.424782,5.139291,5.140238
15000,2,1024,3.654154,3.454154,5.152889,5.137106,3.685516,3.464803,5.341225,5.371258,3.773011,3.488770,5.137809,5.422456,3.697982,3.520896,5.382592,5.140530,3.790472,3.436519,5.425019,5.137472
15000,2,2048,3.545444,3.497304,5.137630,5.137556,3.547662,3.499115,5.145530,5.136890,3.539808,3.464905,5.137467,5.137643,3.585144,3.541148,5.139533,5.144018,3.555797,3.506533,5.181398,5.138498
15000,2,4096,4.225170,3.680005,5.137306,5.139889,4.243286,3.673270,5.138380,5.138356,4.273233,3.699517,5.137381,5.137456,4.251703,3.694466,5.136476,5.139696,4.242961,3.715556,5.138240,5.139727
15000,4,1,1.797909,1.919851,5.135210,5.138219,1.777431,1.893141,5.141096,5.132168,1.829379,1.832738,5.137677,5.137414,1.861055,1.836612,5.138424,5.140162,1.817008,1.786549,5.138775,5.135455
15000,4,10,1.854404,1.841916,5.138392,5.146707,1.821773,1.851475,5.137801,5.132594,1.854926,1.821474,5.175391,5.136810,1.973554,1.866715,5.158865,5.510048,1.909625,1.890753,5.551108,5.902326
15000,4,16,1.795166,1.978264,5.226586,5.513449,1.927222,1.982119,5.137494,5.511170,2.066581,1.959919,5.139046,5.497910,1.788671,1.959226,5.198540,5.554220,1.974581,1.958859,5.199014,5.539267
15000,4,32,1.739383,1.750575,5.184938,5.204733,2.005187,1.841825,5.196557,5.343379,1.735744,1.946074,5.230573,5.245337,1.956281,2.038217,5.226332,5.588242,1.962117,1.938618,5.160398,5.215712
15000,4,64,1.987413,1.993362,5.178246,5.574345,1.986932,2.028880,5.218026,5.169687,1.980273,1.967952,5.226338,5.130545,1.841952,1.991789,5.138044,5.534073,1.914080,2.090937,5.138485,5.500838
15000,4,128,1.880742,2.032080,5.604984,5.138204,1.803798,2.027326,5.167837,5.507430,1.822612,2.010614,5.133803,5.548572,1.867713,1.993811,5.135735,5.512799,1.863168,2.018185,5.137256,5.506992
15000,4,256,1.920611,2.084766,5.134825,5.510801,1.844812,2.042188,5.142666,5.525948,1.856746,2.039159,5.135119,5.497389,2.118040,2.093486,5.132550,5.507555,1.808826,2.042618,5.132418,5.544767
15000,4,512,1.953897,2.146265,5.132526,5.505368,2.044130,2.098414,5.137533,5.506090,2.020633,2.241577,5.133138,5.496649,1.992704,2.145481,5.134015,5.503070,1.978440,2.138320,5.131768,5.508301
15000,4,1024,2.039807,2.228953,5.140455,5.503370,1.943902,2.192104,5.156637,5.505608,2.010610,2.263245,5.137306,5.506279,1.985852,2.188865,5.133741,5.505763,1.950820,2.186188,5.132471,5.504937
15000,4,2048,2.575397,2.594538,5.139668,5.507033,2.634675,2.565373,5.136318,5.503338,2.709822,2.617294,5.133305,5.504479,2.665797,2.583865,5.137534,5.496298,2.773679,2.582050,5.138306,5.503369
15000,4,4096,2.560953,2.872457,5.137320,5.507665,2.539468,2.884764,5.132645,5.495088,2.558931,2.885330,5.137572,5.507128,2.539477,2.960292,5.137320,5.504265,2.541107,2.908207,5.179897,5.500819
15000,8,1,0.996702,0.985573,5.136017,5.147786,0.996012,0.991762,5.135760,5.150883,0.995372,0.994364,5.136483,5.148551,0.993645,0.995865,5.132493,5.150614,0.993887,0.995776,5.160726,5.138750
15000,8,10,0.994538,0.998972,5.147237,5.141011,0.995862,1.002699,5.150591,5.138269,0.998960,0.999073,5.147535,5.137806,0.991833,1.000020,5.151357,5.138371,0.995496,1.001597,5.148998,5.139132
15000,8,16,0.996947,1.001983,5.155606,5.138040,1.002991,0.999084,5.149798,5.139382,0.997046,0.999013,5.159909,5.133652,1.001453,1.007536,5.148045,5.133515,1.000256,1.006017,5.152667,5.139877
15000,8,32,1.008852,1.002367,5.144697,5.132839,1.006762,1.006909,5.155991,5.134043,1.004376,1.008072,5.145687,5.132292,1.003009,1.004370,5.160209,5.138198,1.003452,1.007407,5.146303,5.139700
15000,8,64,1.003309,1.021038,5.146207,5.140775,1.000695,1.020729,5.146944,5.132511,1.004654,1.015779,5.144149,5.168760,1.002799,1.019748,5.143659,5.140532,1.002846,1.022988,5.143701,5.139584
15000,8,128,1.063631,1.053792,5.141971,5.144789,1.061454,1.047763,5.143947,5.145911,1.064092,1.040888,5.144050,5.169447,1.063472,1.048655,5.142597,5.134425,1.061694,1.047030,5.142233,5.139804
15000,8,256,1.076148,1.091665,5.143782,5.163982,1.077687,1.075998,5.141983,5.138022,1.085938,1.088265,5.145998,5.133685,1.074911,1.079187,5.141595,5.139361,1.079942,1.082204,5.143916,5.133736
15000,8,512,1.095223,1.206094,5.143373,5.139394,1.105022,1.198723,5.143668,5.135495,1.106563,1.210994,5.141723,5.137841,1.104020,1.193090,5.195162,5.133216,1.103511,1.202913,5.145060,5.137750
15000,8,1024,1.435929,1.373954,5.145515,5.139949,1.447958,1.366843,5.142801,5.134622,1.434975,1.381894,5.135905,5.140923,1.473764,1.357798,5.137531,5.140953,1.462343,1.373645,5.138912,5.139280
15000,8,2048,1.863640,1.820462,5.134779,5.141021,1.823958,1.837145,5.138216,5.141549,1.871682,1.826798,5.142480,5.140881,1.856857,1.828125,5.136708,5.142670,1.830824,1.849288,5.134476,5.137489
15000,8,4096,2.764151,2.705624,5.138728,5.141138,2.692297,2.698831,5.136500,5.154778,2.801578,2.705615,5.132926,5.187763,2.802661,2.709009,5.139612,5.141351,2.779366,2.788347,5.137853,5.140455
15000,12,1,0.560146,0.655569,5.129593,5.130355,0.568703,0.593204,5.129424,5.135523,0.569745,0.606044,5.130130,5.130550,0.605933,0.638456,5.130098,5.130673,0.606569,0.598052,5.129102,5.130470
15000,12,10,0.557831,0.579408,5.141031,5.130244,0.549887,0.610816,5.129062,5.131304,0.553688,0.649445,5.129756,5.131128,0.609838,0.622805,5.130269,5.129951,0.585752,0.608277,5.129064,5.131142
15000,12,16,0.588665,0.597961,5.130174,5.130014,0.572412,0.624962,5.129133,5.129894,0.564070,0.640790,5.129829,5.131582,0.580957,0.586812,5.129705,5.147790,0.554613,0.667091,5.128808,5.131504
15000,12,32,0.596684,0.648067,5.129407,5.132250,0.571805,0.676408,5.129259,5.130536,0.568791,0.706081,5.130040,5.130923,0.576825,0.655845,5.129134,5.131544,0.568910,0.594374,5.128970,5.129894
15000,12,64,0.578136,0.663485,5.129628,5.129362,0.621136,0.704981,5.128762,5.130232,0.599165,0.649149,5.129463,5.135932,0.646646,0.690409,5.129872,5.129687,0.590801,0.701013,5.129752,5.128513
15000,12,128,0.611028,0.683851,5.129182,5.130072,0.644176,0.605747,5.131116,5.129926,0.595128,0.678252,5.129249,5.132815,0.648445,0.634266,5.128900,5.130205,0.599862,0.639027,5.129415,5.128872
15000,12,256,0.669768,0.667170,5.135499,5.130975,0.669342,0.694719,5.129586,5.131924,0.704666,0.672435,5.129370,5.129483,0.662100,0.673610,5.128938,5.133090,0.672336,0.690496,5.227414,5.134888
15000,12,512,0.791839,0.838755,5.129282,5.132052,0.729381,0.857496,5.130010,5.130938,0.725757,0.764823,5.129480,5.128799,0.809504,0.817247,5.140310,5.131215,0.718472,0.783576,5.129470,5.131818
15000,12,1024,1.145773,0.924771,5.129681,5.132445,0.971069,0.930942,5.128886,5.132478,0.938602,0.922945,5.129936,5.131891,0.961381,0.924725,5.129327,5.131712,0.961503,0.972180,5.130068,5.136198
15000,12,2048,1.553695,1.551354,5.129155,5.128820,1.563794,1.622577,5.130277,5.137045,1.598343,1.552643,5.129524,5.130174,1.554556,1.557196,5.134339,5.132646,1.551795,1.585507,5.127981,5.129952
15000,12,4096,2.383670,2.354553,5.129526,5.129015,2.349626,2.361784,5.129523,5.128962,2.341058,2.429750,5.129022,5.132076,2.366597,2.426497,5.134454,5.129970,2.345436,2.345929,5.130708,5.129775
15000,16,1,0.427127,0.419051,5.134551,5.129161,0.501500,0.422960,5.130096,5.129410,0.509844,0.460695,5.134673,5.129607,0.474521,0.419560,5.131554,5.129328,0.544404,0.430024,5.129767,5.128810
15000,16,10,0.523013,0.431441,5.130493,5.146036,0.492299,0.453708,5.129628,5.136658,0.441556,0.515731,5.128349,5.132103,0.434561,0.471308,5.128838,5.137173,0.422285,0.511597,5.128128,5.131726
15000,16,16,0.437843,0.490197,5.127959,5.136445,0.427414,0.533760,5.128470,5.131198,0.435128,0.499177,5.128180,5.136582,0.447267,0.527864,5.128811,5.131666,0.425253,0.487258,5.136354,5.130384
15000,16,32,0.439454,0.539152,5.131708,5.131378,0.441490,0.488376,5.127879,5.131979,0.440172,0.494018,5.127990,5.130672,0.442344,0.484015,5.128648,5.131646,0.455036,0.548092,5.128256,5.130576
