input,cores,chunk_size,run1s1,run1s2,run2s1,run2s2,run3s1,run3s2,run4s1,run4s2,run5s1,run5s2
15000,,,10.793842,,10.439155,,10.357850,,10.301385,,10.298267,
30000,,,43.803797,,43.797167,,45.126918,,43.855931,,43.529564,
100000,,,534.812599,,543.074572,,553.875417,,555.700062,,542.931592,
100000,20,1,16.942849,16.903386,16.900952,16.943468,16.905460,16.947104,16.943982,16.899415,16.930677,16.949130
100000,20,10,16.956712,17.062593,16.995837,16.977233,20.168757,17.106807,16.935051,17.032260,16.937413,16.948676
100000,20,16,16.990402,16.956799,16.957778,17.001106,16.962595,16.985660,16.960625,16.968731,16.938017,16.976182
100000,20,32,17.135314,17.004443,17.023271,17.030380,16.972900,17.048257,16.981522,17.050196,16.983843,17.016132
100000,20,64,17.142809,17.073032,17.309959,17.303064,17.182296,17.078530,17.155712,17.123809,17.177793,17.111510
100000,20,128,17.334722,17.279162,17.262800,17.372332,17.371188,17.566017,17.482685,17.248020,17.361358,17.385723
100000,20,256,17.486655,17.621749,17.454123,17.576587,17.376662,17.640149,17.481951,17.517080,17.460990,17.699808
100000,20,512,18.059756,18.465707,18.045383,18.483465,18.938144,18.652151,19.895009,18.599379,18.243474,18.611942
100000,20,1024,20.346096,19.850924,20.494324,19.633982,20.613910,19.927560,20.550990,19.612065,20.356145,20.284790
100000,20,2048,22.364096,22.830533,22.389461,23.507595,22.302201,23.437201,22.132919,23.637770,22.146204,22.726932
100000,20,4096,29.276561,29.752191,29.455063,30.747731,29.584264,29.974889,28.880256,30.510127,29.532028,29.757476
100000,24,1,15.083746,15.168863,14.963032,14.963624,15.010822,15.031216,14.935955,14.948318,15.001727,15.001944
100000,24,10,15.035909,15.055974,14.978937,14.966196,14.947598,14.921554,15.006424,14.996042,15.030246,15.052989
100000,24,16,15.111051,15.003495,15.143494,14.967141,15.086987,14.998789,14.999984,15.069932,15.104608,14.892353
100000,24,32,15.864430,15.770320,15.079220,15.112093,15.038650,15.125002,15.081100,15.042015,15.010123,15.309904
100000,24,64,15.054708,15.255821,15.164052,15.288709,15.128770,15.278591,15.133259,15.187306,15.062206,15.203425
100000,24,128,15.596383,16.247657,15.482055,16.088437,15.588534,15.401048,15.503308,15.394869,15.664310,15.384044
100000,24,256,15.733534,15.611051,15.751715,15.685439,15.719883,15.706534,15.675293,15.791758,15.805573,15.817549
100000,24,512,15.789088,16.451958,15.905478,16.751707,16.056602,16.435754,16.033936,16.749407,15.700185,16.266147
100000,24,1024,18.568276,17.789523,18.568881,17.756909,18.722503,17.982235,18.761647,18.204700,19.177885,17.868539
100000,24,2048,21.241515,21.148433,21.923433,20.781123,22.213867,21.286046,21.385540,20.482422,21.076173,20.587755
100000,24,4096,27.279294,26.927563,27.251116,27.535749,26.952127,27.718346,26.624712,27.284409,27.579584,27.844047
100000,28,1,12.882448,12.845579,12.884047,12.824510,12.820672,12.788608,12.834248,12.796323,12.852728,12.871315
100000,28,10,12.856305,12.888356,12.774894,12.848141,12.846418,12.863556,12.873030,12.841699,12.901680,12.870770
100000,28,16,12.877146,12.889619,12.904094,12.932829,12.943894,12.836251,12.900815,12.844752,13.002716,12.851509
100000,28,32,12.958950,12.884539,13.143240,12.934949,12.886487,12.853703,12.932441,12.889449,12.932149,12.895479
